filename,min_lat,max_lat,min_lon,max_lon,year,month,day
2017-01-09.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,9
2017-01-10.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,10
2017-01-11.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,11
2017-01-12.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,12
2017-01-13.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,13
2017-01-14.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,14
2017-01-15.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,15
2017-01-16.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,16
2017-01-17.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,17
2017-01-18.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,18
2017-01-19.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,19
2017-01-20.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,20
2017-01-21.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,21
2017-01-22.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,22
2017-01-23.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,23
2017-01-24.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,24
2017-01-25.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,25
2017-01-26.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,26
2017-01-27.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,27
2017-01-28.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,28
2017-01-29.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,29
2017-01-30.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,30
2017-01-31.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,1,31
2017-02-01.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,2,1
2017-02-02.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,2,2
2017-02-03.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,2,3
2017-02-04.tif,38.298644454,39.39918691,-123.387438304,-122.5294855530917,2017,2,4
